ticker,date,drift,return,stopped,days_to_stop,bucket
MU,2020-03-16,0.029590953953761545,0.12397836071467293,True,11.0,4
TDG,2011-08-08,0.02979830643617931,0.18242799086534217,False,,4
WYNN,2008-10-27,0.031081753685208602,0.49536250553824007,True,4.0,4
DE,2011-08-08,0.031170595576321514,0.01460778671649656,True,7.0,4
MRVL,2022-05-09,0.031453497005163866,0.06730430196305537,False,,4
MA,2025-04-07,0.03188340336176898,0.07891410073054715,False,,4
META,2020-03-16,0.032394837903994445,0.12000798544912301,False,,4
HUM,2009-03-03,0.03344950736769148,0.2193234011367008,False,,4
CMI,2008-10-27,0.033645134228786455,-0.05424916384611049,True,3.0,4
EQIX,2008-10-27,0.03464279366174283,0.11747112811417752,True,7.0,4
AMD,2021-12-06,0.03480509436835888,0.06428075324766214,False,,4
NOW,2021-03-08,0.03590131257484708,0.01427057552721401,False,,4
VLO,2010-05-07,0.036716931212497084,-0.02466083715332005,False,,4
PANW,2015-08-24,0.0374169618559792,0.13917050579741003,False,,4
MSI,2008-09-29,0.0374248858686943,-0.18037478776138893,False,,4
COIN,2025-03-10,0.03777271904169721,-0.06489251249579973,True,13.0,4
FTNT,2021-12-06,0.038179692955016886,0.20716376461635866,False,,4
ADBE,2021-03-08,0.03950613401853453,0.06308239390691149,False,,4
SWKS,2021-03-08,0.039826100385151,0.06496844276305778,False,,4
NVDA,2020-09-08,0.040879686400125737,0.09116951854087897,False,,4
LULU,2015-08-24,0.041137638695276646,-0.1321951393189469,False,,4
OKE,2015-08-24,0.042586388017654464,0.039057964540627044,False,,4
NVDA,2022-05-09,0.043599015811861985,0.05557106105251376,False,,4
ZBRA,2020-09-08,0.04421088227280179,-0.03004453704512505,False,,4
TPR,2008-10-27,0.04537013699475123,0.031509692794666304,True,7.0,4
TTWO,2021-03-08,0.04566269710292592,0.047869800815920856,False,,4
FTNT,2015-08-24,0.046187714894262655,0.044849312334231985,False,,4
AMD,2008-09-29,0.046620002574253805,-0.1291758830408661,False,,4
XYZ,2020-09-08,0.04701310658786784,0.11603165028132116,False,,4
SBUX,2015-08-24,0.05204618789141713,0.07458480719776554,False,,4
FTNT,2022-05-09,0.05529732222930028,0.1366411338840356,False,,4
XYZ,2020-02-26,0.0626714098611747,-0.5085391288860559,False,,4
RCL,2009-03-03,0.06502669974952457,0.4504951610397468,False,,4
KKR,2025-04-07,0.06592156209864419,0.09983644928264024,False,,4
AAPL,2015-08-24,0.0774823164034879,0.04653058868809196,False,,4
